"Teamâ.²","W","L","PF","PA"
"Atlanta Hawks",25,57,98.7,104.3
"Boston Celtics",36,46,101.4,103.7
"Charlotte Hornets*",46,36,101.8,99.5
"Chicago Bulls",15,67,97.2,107.3
"Cleveland Cavaliers",30,52,100.3,104.9
"Dallas Mavericks*",53,29,107.1,102.6
"Denver Nuggets",40,42,103.7,106.3
"Detroit Pistons",32,50,100,101.8
"Golden State Warriors",17,65,97.8,107.4
"Houston Rockets",45,37,106.7,104.2
"Indiana Pacers*",41,41,102,102.2
"Los Angeles Clippers",31,51,101.3,104.5
"Los Angeles Lakers*",56,26,108.4,104.8
"Miami Heat*",50,32,101.1,98.5
"Milwaukee Bucks*",52,30,108.8,104.6
"Minnesota Timberwolves*",47,35,105.2,103.7
"New Jersey Nets",26,56,100,105.5
"New York Knicks*",48,34,101.2,98.2
"Orlando Magic*",43,39,103.2,102.1
"Philadelphia 76ers*",56,26,103.6,98.9
"Phoenix Suns*",51,31,100.3,98
"Portland Trail Blazers*",50,32,106.5,101.8
"Sacramento Kings*",55,27,105.6,99.6
"San Antonio Spurs*",58,24,106.6,98
"Seattle SuperSonics",44,38,105.6,105.6
"Toronto Raptors*",47,35,105.9,103.4
"Utah Jazz*",53,29,107.6,102.4
"Vancouver Grizzlies",23,59,99.6,105.8
"Washington Wizards",19,63,100.6,107.8
