Player,Age,Games,Starts,Tgt,Receiving,RecYrds,Yrds/Rec,RecTD,Rec1D,RecLg,Rec/G,RecY/G,Ctch%,Att,Yds,TD,1D,Lng,Yrds/Att,Yards/G,Att/G,Fmb
Adrian Peterson 2015,30,16,16,36,30,222,7.4,0,9,49,1.9,13.9,0.833,327,1485,11,72,80,4.5,92.8,20.4,7
Doug Martin 2015,26,16,16,44,33,271,8.2,1,10,25,2.1,16.9,0.75,288,1402,6,68,84,4.9,87.6,18,5
Devonta Freeman 2015,23,15,13,97,73,578,7.9,3,21,44,4.9,38.5,0.753,265,1056,11,71,39,4,70.4,17.7,3
Darren McFadden 2015,28,16,10,53,40,328,8.2,0,12,21,2.5,20.5,0.755,239,1089,3,53,50,4.6,68.1,14.9,3
Latavius Murray 2015,25,16,16,53,41,232,5.7,0,9,23,2.6,14.5,0.774,266,1066,6,49,54,4,66.6,16.6,4
Todd Gurley 2015,21,13,12,26,21,188,9,0,9,31,1.6,14.5,0.808,229,1106,10,47,71,4.8,85.1,17.6,3
Matt Forte 2015,30,13,13,58,44,389,8.8,3,17,38,3.4,29.9,0.759,218,898,4,47,27,4.1,69.1,16.8,2
Chris Ivory 2015,27,15,14,37,30,217,7.2,1,10,36,2,14.5,0.811,247,1070,7,51,58,4.3,71.3,16.5,4
DeAngelo Williams 2015,32,16,10,47,40,367,9.2,0,15,34,2.5,22.9,0.851,200,907,11,53,55,4.5,56.7,12.5,4
Lamar Miller 2015,24,16,16,57,47,397,8.4,2,15,54,2.9,24.8,0.825,194,872,8,41,85,4.5,54.5,12.1,1
Frank Gore 2015,32,16,16,58,34,267,7.9,1,11,34,2.1,16.7,0.586,260,967,6,48,37,3.7,60.4,16.3,4
Giovani Bernard 2015,24,16,1,66,49,472,9.6,0,19,45,3.1,29.5,0.742,154,730,2,36,28,4.7,45.6,9.6,1
LeSean McCoy 2015,27,12,12,50,32,292,9.1,2,12,22,2.7,24.3,0.64,203,895,3,42,48,4.4,74.6,16.9,2
Mark Ingram 2015,26,12,10,60,50,405,8.1,0,22,59,4.2,33.8,0.833,166,769,6,47,70,4.6,64.1,13.8,2
Rashad Jennings 2015,30,16,16,40,29,296,10.2,1,8,51,1.8,18.5,0.725,195,863,3,42,38,4.4,53.9,12.2,2
Jonathan Stewart 2015,28,13,13,21,16,99,6.2,1,5,15,1.2,7.6,0.762,242,989,6,43,44,4.1,76.1,18.6,3
David Johnson 2015,24,16,5,57,36,457,12.7,4,21,55,2.3,28.6,0.632,125,581,8,36,47,4.6,36.3,7.8,4
DeMarco Murray 2015,27,15,8,55,44,322,7.3,1,13,44,2.9,21.5,0.8,193,702,6,48,54,3.6,46.8,12.9,2
T.J. Yeldon 2015,22,12,12,46,36,279,7.8,1,15,67,3,23.3,0.783,182,740,2,29,45,4.1,61.7,15.2,0
Ronnie Hillman 2015,24,16,10,35,24,111,4.6,0,3,14,1.5,6.9,0.686,207,863,7,44,72,4.2,53.9,12.9,3
Eddie Lacy 2015,25,15,12,28,20,188,9.4,2,7,28,1.3,12.5,0.714,187,758,3,39,29,4.1,50.5,12.5,4
Duke Johnson 2015,22,16,7,74,61,534,8.8,2,24,52,3.8,33.4,0.824,104,379,0,19,39,3.6,23.7,6.5,1
Thomas Rawls 2015,22,13,7,11,9,76,8.4,1,2,31,0.7,5.8,0.818,147,830,4,37,69,5.6,63.8,11.3,1
C.J. Anderson 2015,24,15,6,36,25,183,7.3,0,6,27,1.7,12.2,0.694,152,720,5,34,48,4.7,48,10.1,2
Isaiah Crowell 2015,22,16,9,22,19,182,9.6,1,6,53,1.2,11.4,0.864,185,706,4,35,54,3.8,44.1,11.6,0
Jeremy Hill 2015,23,16,15,19,15,79,5.3,1,6,14,0.9,4.9,0.789,223,794,11,47,38,3.6,49.6,13.9,3
Chris Johnson 2015,30,11,9,13,6,58,9.7,0,1,40,0.5,5.3,0.462,196,814,3,33,62,4.2,74,17.8,2
Javorius Allen 2015,24,16,6,62,45,353,7.8,2,15,41,2.8,22.1,0.726,137,514,1,29,44,3.8,32.1,8.6,2
Charcandrick West 2015,24,15,9,34,20,214,10.7,1,6,80,1.3,14.3,0.588,160,634,4,36,38,4,42.3,10.7,1
Melvin Gordon 2015,22,14,12,37,33,192,5.8,0,8,18,2.4,13.7,0.892,184,641,0,36,27,3.5,45.8,13.1,6
Theo Riddick 2015,24,16,1,99,80,697,8.7,3,32,34,5,43.6,0.808,43,133,0,6,16,3.1,8.3,2.7,1
Alfred Blue 2015,24,16,9,16,15,109,7.3,1,2,21,0.9,6.8,0.938,183,698,2,34,41,3.8,43.6,11.4,2
Alfred Morris 2015,27,16,16,13,10,55,5.5,0,2,12,0.6,3.4,0.769,202,751,1,35,48,3.7,46.9,12.6,0
Justin Forsett 2015,30,10,10,41,31,153,4.9,0,4,32,3.1,15.3,0.756,151,641,2,41,33,4.2,64.1,15.1,0
Ameer Abdullah 2015,22,16,9,38,25,183,7.3,1,11,36,1.6,11.4,0.658,143,597,2,31,36,4.2,37.3,8.9,5
LeGarrette Blount 2015,29,12,6,7,6,43,7.2,1,3,14,0.5,3.6,0.857,165,703,6,39,38,4.3,58.6,13.8,1
Antonio Andrews 2015,23,14,10,29,21,174,8.3,0,8,23,1.5,12.4,0.724,143,520,3,31,38,3.6,37.1,10.2,1
Le'Veon Bell 2015,23,6,6,26,24,136,5.7,0,4,20,4,22.7,0.923,113,556,3,27,42,4.9,92.7,18.8,0
Ryan Mathews 2015,28,13,6,28,20,146,7.3,1,6,23,1.5,11.2,0.714,106,539,6,34,63,5.1,41.5,8.2,3
Dion Lewis 2015,25,7,6,50,36,388,10.8,2,17,40,5.1,55.4,0.72,49,234,2,15,13,4.8,33.4,7,2
Joique Bell 2015,29,13,5,27,22,286,13,0,10,39,1.7,22,0.815,90,311,4,19,36,3.5,23.9,6.9,1
Jamaal Charles 2015,29,5,5,29,21,177,8.4,1,10,26,4.2,35.4,0.724,71,364,4,22,34,5.1,72.8,14.2,2
Carlos Hyde 2015,25,7,7,15,11,53,4.8,0,4,11,1.6,7.6,0.733,115,470,3,26,22,4.1,67.1,16.4,1
Marshawn Lynch 2015,29,7,6,21,13,80,6.2,0,5,19,1.9,11.4,0.619,111,417,3,29,24,3.8,59.6,15.9,0
Joseph Randle 2015,24,6,6,10,10,86,8.6,0,6,25,1.7,14.3,1,76,315,4,15,37,4.1,52.5,12.7,1
Kyle Juszczyk 2015,24,16,11,56,41,321,7.8,4,17,39,2.6,20.1,0.732,2,3,0,0,2,1.5,0.2,0.1,0
Marcel Reece 2015,30,15,7,37,30,269,9,3,12,55,2,17.9,0.811,10,36,0,2,12,3.6,2.4,0.7,0
Bruce Miller 2015,28,16,5,14,10,135,13.5,0,5,52,0.6,8.4,0.714,6,14,1,5,4,2.3,0.9,0.4,0
Patrick DiMarco 2015,26,16,8,17,13,110,8.5,2,9,19,0.8,6.9,0.765,1,0,0,0,0,0,0,0.1,0
Zach Line 2015,25,16,5,9,6,95,15.8,1,4,49,0.4,5.9,0.667,6,10,2,3,3,1.7,0.6,0.4,0
John Kuhn 2015,33,16,6,10,6,56,9.3,0,3,19,0.4,3.5,0.6,9,28,2,3,5,3.1,1.8,0.6,0
Malcolm Johnson 2015,23,12,5,6,4,15,3.8,0,0,8,0.3,1.3,0.667,,,,0,,,,,0
Jerome Felton 2015,29,16,8,2,1,12,12,0,0,12,0.1,0.8,0.5,1,2,0,1,2,2,0.1,0.1,0
Tyler Clutts 2015,31,16,5,1,1,4,4,0,0,4,0.1,0.3,1,,,,0,,,,,0
