"Tm","W","L","T","OL","PTS","GF","GA"
"Colorado Avalanche",52,16,10,4,118,270,192
"New Jersey Devils",48,19,12,3,111,295,195
"Detroit Red Wings",49,20,9,4,111,253,202
"Ottawa Senators",48,21,9,4,109,274,205
"Dallas Stars",48,24,8,2,106,241,187
"St. Louis Blues",43,22,12,5,103,249,195
"Philadelphia Flyers",43,25,11,3,100,240,207
"Buffalo Sabres",46,30,5,1,98,218,184
"Washington Capitals",41,27,10,4,96,233,211
"Pittsburgh Penguins",42,28,9,3,96,281,256
"San Jose Sharks",40,27,12,3,95,217,192
"Edmonton Oilers",39,28,12,3,93,243,222
"Los Angeles Kings",38,28,13,3,92,252,228
"Toronto Maple Leafs",37,29,11,5,90,232,207
"Vancouver Canucks",36,28,11,7,90,239,238
"Phoenix Coyotes",35,27,17,3,90,214,212
"Carolina Hurricanes",38,32,9,3,88,212,225
"Boston Bruins",36,30,8,8,88,227,249
"Nashville Predators",34,36,9,3,80,186,200
"Calgary Flames",27,36,15,4,73,197,236
"New York Rangers",33,43,5,1,72,250,290
"Columbus Blue Jackets",28,39,9,6,71,190,233
"Chicago Blackhawks",29,40,8,5,71,210,246
"Montreal Canadiens",28,40,8,6,70,206,232
"Minnesota Wild",25,39,13,5,68,168,210
"Florida Panthers",22,38,13,9,66,200,246
"Mighty Ducks of Anaheim",25,41,11,5,66,188,245
"Atlanta Thrashers",23,45,12,2,60,211,289
"Tampa Bay Lightning",24,47,6,5,59,201,280
"New York Islanders",21,51,7,3,52,185,268
